temperature,pressure,flow_rate,valve_position,power_output,timestamp
431.51,4.0,2.97,41.38,152.56,1771519024.788
423.74,4.02,2.94,43.37,150.0,1771519025.789
423.74,4.02,2.94,43.37,150.0,1771519025.789
423.74,4.02,2.94,43.37,150.0,1771519025.789
423.74,4.02,2.94,43.37,150.0,1771519025.789
417.09,4.0,2.89,45.16,150.0,1771519026.79
417.09,4.0,2.89,45.16,150.0,1771519026.79
417.09,4.0,2.89,45.16,150.0,1771519026.79
417.09,4.0,2.89,45.16,150.0,1771519026.79
417.09,4.0,2.89,45.16,150.0,1771519026.79
419.94,4.0,2.96,46.78,151.31,1771519027.804
419.94,4.0,2.96,46.78,151.31,1771519027.804
419.94,4.0,2.96,46.78,151.31,1771519027.804
419.94,4.0,2.96,46.78,151.31,1771519027.804
419.94,4.0,2.96,46.78,151.31,1771519027.804
413.43,4.0,3.0,48.23,150.0,1771519028.804
413.43,4.0,3.0,48.23,150.0,1771519028.804
413.43,4.0,3.0,48.23,150.0,1771519028.804
413.43,4.0,3.0,48.23,150.0,1771519028.804
422.66,4.0,2.9,49.54,152.76,1771519029.806
422.66,4.0,2.9,49.54,152.76,1771519029.806
422.66,4.0,2.9,49.54,152.76,1771519029.806
422.66,4.0,2.9,49.54,152.76,1771519029.806
422.66,4.0,2.9,49.54,152.76,1771519029.806
414.46,4.0,2.95,50.72,151.23,1771519030.822
414.46,4.0,2.95,50.72,151.23,1771519030.822
414.46,4.0,2.95,50.72,151.23,1771519030.822
414.46,4.0,2.95,50.72,151.23,1771519030.822
418.36,4.0,2.94,51.78,152.62,1771519031.822
418.36,4.0,2.94,51.78,152.62,1771519031.822
418.36,4.0,2.94,51.78,152.62,1771519031.822
418.36,4.0,2.94,51.78,152.62,1771519031.822
418.36,4.0,2.94,51.78,152.62,1771519031.822
408.42,4.0,2.91,52.73,151.1,1771519032.836
408.42,4.0,2.91,52.73,151.1,1771519032.836
408.42,4.0,2.91,52.73,151.1,1771519032.836
408.42,4.0,2.91,52.73,151.1,1771519032.836
408.42,4.0,2.91,52.73,151.1,1771519032.836
415.0,4.06,2.95,53.59,152.64,1771519033.837
415.0,4.06,2.95,53.59,152.64,1771519033.837
415.0,4.06,2.95,53.59,152.64,1771519033.837
415.0,4.06,2.95,53.59,152.64,1771519033.837
411.47,4.03,2.96,54.36,150.58,1771519034.855
411.47,4.03,2.96,54.36,150.58,1771519034.855
411.47,4.03,2.96,54.36,150.58,1771519034.855
411.47,4.03,2.96,54.36,150.58,1771519034.855
411.47,4.03,2.96,54.36,150.58,1771519034.855
410.25,4.0,3.02,55.05,152.33,1771519035.856
410.25,4.0,3.02,55.05,152.33,1771519035.856
410.25,4.0,3.02,55.05,152.33,1771519035.856
410.25,4.0,3.02,55.05,152.33,1771519035.856
410.25,4.0,3.02,55.05,152.33,1771519035.856
413.51,4.06,2.93,52.74,151.59,1771519036.87
413.51,4.06,2.93,52.74,151.59,1771519036.87
413.51,4.06,2.93,52.74,151.59,1771519036.87
413.51,4.06,2.93,52.74,151.59,1771519036.87
403.49,4.05,2.92,50.65,150.45,1771519037.872
403.49,4.05,2.92,50.65,150.45,1771519037.872
403.49,4.05,2.92,50.65,150.45,1771519037.872
403.49,4.05,2.92,50.65,150.45,1771519037.872
403.49,4.05,2.92,50.65,150.45,1771519037.872
403.31,4.0,2.95,48.77,150.72,1771519038.887
403.31,4.0,2.95,48.77,150.72,1771519038.887
403.31,4.0,2.95,48.77,150.72,1771519038.887
403.31,4.0,2.95,48.77,150.72,1771519038.887
403.31,4.0,2.95,48.77,150.72,1771519038.887
401.77,4.0,2.94,47.08,150.0,1771519039.903
401.77,4.0,2.94,47.08,150.0,1771519039.903
401.77,4.0,2.94,47.08,150.0,1771519039.903
401.77,4.0,2.94,47.08,150.0,1771519039.903
400.0,4.0,2.93,45.56,150.38,1771519040.904
400.0,4.0,2.93,45.56,150.38,1771519040.904
400.0,4.0,2.93,45.56,150.38,1771519040.904
400.0,4.0,2.93,45.56,150.38,1771519040.904
400.0,4.0,2.93,45.56,150.38,1771519040.904
400.72,4.0,2.93,44.19,150.0,1771519041.904
